County,District,School,testAdministration,Subject,GradeLevel,StudentGroup,countMetStandardIncludingPP,PercentMetStandardIncludingPP
Snohomish County,Marysville School District,10 Street School,SBA,ELA,6,All,,
Snohomish County,Marysville School District,10 Street School,SBA,ELA,7,All,30,50.8
Snohomish County,Marysville School District,10 Street School,SBA,ELA,8,All,20,40
Snohomish County,Marysville School District,10 Street School,SBA,MATH,6,All,,
Snohomish County,Marysville School District,10 Street School,SBA,MATH,7,All,34,57.6
Snohomish County,Marysville School District,10 Street School,SBA,MATH,8,All,31,62
Clark County,Evergreen School District (Clark),49th Street Academy,SBA,ELA,3,All,,
Clark County,Evergreen School District (Clark),49th Street Academy,SBA,ELA,4,All,,
Clark County,Evergreen School District (Clark),49th Street Academy,SBA,ELA,7,All,,
Clark County,Evergreen School District (Clark),49th Street Academy,SBA,ELA,8,All,,
Clark County,Evergreen School District (Clark),49th Street Academy,SBA,ELA,11,All,,
Clark County,Evergreen School District (Clark),49th Street Academy,SBA,MATH,3,All,,
Clark County,Evergreen School District (Clark),49th Street Academy,SBA,MATH,4,All,,
Clark County,Evergreen School District (Clark),49th Street Academy,SBA,MATH,7,All,,
Clark County,Evergreen School District (Clark),49th Street Academy,SBA,MATH,8,All,,
Clark County,Evergreen School District (Clark),49th Street Academy,SBA,MATH,11,All,,
Thurston County,Tumwater School District,A G West Black Hills High School,SBA,ELA,11,All,186,89.4
Thurston County,Tumwater School District,A G West Black Hills High School,SBA,MATH,11,All,89,45.1
Grays Harbor County,Aberdeen School District,A J West Elementary,SBA,ELA,3,All,19,31.1
Grays Harbor County,Aberdeen School District,A J West Elementary,SBA,ELA,4,All,15,33.3
Grays Harbor County,Aberdeen School District,A J West Elementary,SBA,ELA,5,All,6,15.7
Grays Harbor County,Aberdeen School District,A J West Elementary,SBA,ELA,6,All,29,51.7
Grays Harbor County,Aberdeen School District,A J West Elementary,SBA,MATH,3,All,31,50.8
Grays Harbor County,Aberdeen School District,A J West Elementary,SBA,MATH,4,All,16,35.5
Grays Harbor County,Aberdeen School District,A J West Elementary,SBA,MATH,5,All,8,21
Grays Harbor County,Aberdeen School District,A J West Elementary,SBA,MATH,6,All,19,33.3
,,A-3 Multiagency Adolescent Prog,SBA,ELA,11,All,,
,,A-3 Multiagency Adolescent Prog,SBA,MATH,11,All,,
Chelan County,Wenatchee School District,Abraham Lincoln Elementary,SBA,ELA,3,All,28,37.8
Chelan County,Wenatchee School District,Abraham Lincoln Elementary,SBA,ELA,4,All,20,27.7
Chelan County,Wenatchee School District,Abraham Lincoln Elementary,SBA,ELA,5,All,27,32.9
Chelan County,Wenatchee School District,Abraham Lincoln Elementary,SBA,MATH,3,All,38,52
Chelan County,Wenatchee School District,Abraham Lincoln Elementary,SBA,MATH,4,All,17,23.6
Chelan County,Wenatchee School District,Abraham Lincoln Elementary,SBA,MATH,5,All,9,10.9
King County,Highline School District,Academy of Citizenship and Empowerment,SBA,ELA,11,All,41,45
King County,Highline School District,Academy of Citizenship and Empowerment,SBA,MATH,11,All,,
Snohomish County,Marysville School District,Academy of Const and Engineering,SBA,ELA,11,All,56,63.6
Snohomish County,Marysville School District,Academy of Const and Engineering,SBA,MATH,11,All,23,27
,,Acceleration Academy,SBA,ELA,11,All,21,36.8
,,Acceleration Academy,SBA,MATH,11,All,,
Snohomish County,Mukilteo School District,ACES High School,SBA,ELA,11,All,,
Snohomish County,Mukilteo School District,ACES High School,SBA,MATH,11,All,,
Whatcom County,Mount Baker School District,Acme Elementary,SBA,ELA,3,All,,
Whatcom County,Mount Baker School District,Acme Elementary,SBA,ELA,4,All,,
Whatcom County,Mount Baker School District,Acme Elementary,SBA,ELA,5,All,,
Whatcom County,Mount Baker School District,Acme Elementary,SBA,ELA,6,All,,
Whatcom County,Mount Baker School District,Acme Elementary,SBA,MATH,3,All,,
Whatcom County,Mount Baker School District,Acme Elementary,SBA,MATH,4,All,,
Whatcom County,Mount Baker School District,Acme Elementary,SBA,MATH,5,All,,
Whatcom County,Mount Baker School District,Acme Elementary,SBA,MATH,6,All,,
Yakima County,Wapato School District,Adams Elementary,SBA,ELA,3,All,9,19.5
Spokane County,Central Valley School District,Adams Elementary,SBA,ELA,3,All,26,35.1
Spokane County,Spokane School District,Adams Elementary,SBA,ELA,3,All,21,46.6
Spokane County,Spokane School District,Adams Elementary,SBA,ELA,4,All,19,37.2
Spokane County,Central Valley School District,Adams Elementary,SBA,ELA,4,All,33,42.3
Yakima County,Wapato School District,Adams Elementary,SBA,ELA,4,All,17,32
Spokane County,Spokane School District,Adams Elementary,SBA,ELA,5,All,25,53.1
Spokane County,Central Valley School District,Adams Elementary,SBA,ELA,5,All,53,64.6
Yakima County,Wapato School District,Adams Elementary,SBA,ELA,5,All,14,27.4
Spokane County,Spokane School District,Adams Elementary,SBA,ELA,6,All,28,59.5
Yakima County,Wapato School District,Adams Elementary,SBA,MATH,3,All,11,24.4
Spokane County,Spokane School District,Adams Elementary,SBA,MATH,3,All,20,45.4
Spokane County,Central Valley School District,Adams Elementary,SBA,MATH,3,All,31,41.8
Spokane County,Central Valley School District,Adams Elementary,SBA,MATH,4,All,43,55.1
Spokane County,Spokane School District,Adams Elementary,SBA,MATH,4,All,19,38
Yakima County,Wapato School District,Adams Elementary,SBA,MATH,4,All,13,24.5
Yakima County,Wapato School District,Adams Elementary,SBA,MATH,5,All,9,17.6
Spokane County,Central Valley School District,Adams Elementary,SBA,MATH,5,All,40,48.7
Spokane County,Spokane School District,Adams Elementary,SBA,MATH,5,All,16,34
Spokane County,Spokane School District,Adams Elementary,SBA,MATH,6,All,25,53.1
King County,Seattle Public Schools,Adams Elementary School,SBA,ELA,3,All,68,73.9
Yakima County,Yakima School District,Adams Elementary School,SBA,ELA,3,All,32,24.8
Yakima County,Yakima School District,Adams Elementary School,SBA,ELA,4,All,38,32.4
King County,Seattle Public Schools,Adams Elementary School,SBA,ELA,4,All,66,75.8
King County,Seattle Public Schools,Adams Elementary School,SBA,ELA,5,All,45,76.2
Yakima County,Yakima School District,Adams Elementary School,SBA,ELA,5,All,31,28.4
Yakima County,Yakima School District,Adams Elementary School,SBA,MATH,3,All,50,38.7
King County,Seattle Public Schools,Adams Elementary School,SBA,MATH,3,All,63,68.4
King County,Seattle Public Schools,Adams Elementary School,SBA,MATH,4,All,55,63.2
Yakima County,Yakima School District,Adams Elementary School,SBA,MATH,4,All,44,37.6
Yakima County,Yakima School District,Adams Elementary School,SBA,MATH,5,All,21,19.4
King County,Seattle Public Schools,Adams Elementary School,SBA,MATH,5,All,37,62.7
King County,Federal Way School District,Adelaide Elementary School,SBA,ELA,3,All,20,33.3
King County,Federal Way School District,Adelaide Elementary School,SBA,ELA,4,All,22,30.9
King County,Federal Way School District,Adelaide Elementary School,SBA,ELA,5,All,33,52.3
King County,Federal Way School District,Adelaide Elementary School,SBA,MATH,3,All,24,40
King County,Federal Way School District,Adelaide Elementary School,SBA,MATH,4,All,23,32.3
King County,Federal Way School District,Adelaide Elementary School,SBA,MATH,5,All,15,23.8
Lewis County,Adna School District,Adna Elementary School,SBA,ELA,3,All,26,66.6
Lewis County,Adna School District,Adna Elementary School,SBA,ELA,4,All,33,70.2
Lewis County,Adna School District,Adna Elementary School,SBA,ELA,5,All,21,67.7
Lewis County,Adna School District,Adna Elementary School,SBA,MATH,3,All,23,58.9
Lewis County,Adna School District,Adna Elementary School,SBA,MATH,4,All,35,74.4
Lewis County,Adna School District,Adna Elementary School,SBA,MATH,5,All,15,48.3
Lewis County,Adna School District,Adna Middle/High School,SBA,ELA,6,All,15,39.4
Lewis County,Adna School District,Adna Middle/High School,SBA,ELA,7,All,20,41.6
Lewis County,Adna School District,Adna Middle/High School,SBA,ELA,8,All,29,60.4
Lewis County,Adna School District,Adna Middle/High School,SBA,ELA,11,All,50,76.9
Lewis County,Adna School District,Adna Middle/High School,SBA,MATH,6,All,13,34.2
Lewis County,Adna School District,Adna Middle/High School,SBA,MATH,7,All,17,35.4
Lewis County,Adna School District,Adna Middle/High School,SBA,MATH,8,All,22,45.8
Lewis County,Adna School District,Adna Middle/High School,SBA,MATH,11,All,15,23.4
Yakima County,West Valley School District (Yakima),Ahtanum Valley Elementary,SBA,ELA,3,All,26,55.3
Yakima County,West Valley School District (Yakima),Ahtanum Valley Elementary,SBA,ELA,4,All,34,77.2
Yakima County,West Valley School District (Yakima),Ahtanum Valley Elementary,SBA,MATH,3,All,36,76.5
Yakima County,West Valley School District (Yakima),Ahtanum Valley Elementary,SBA,MATH,4,All,28,63.6
Snohomish County,Snohomish School District,AIM High School,SBA,ELA,11,All,25,53.1
Snohomish County,Snohomish School District,AIM High School,SBA,MATH,11,All,,
King County,Seattle Public Schools,Aki Kurose Middle School,SBA,ELA,6,All,111,43
