County,District,School,testAdministration,Subject,GradeLevel,StudentGroup,countMetStandardIncludingPP,PercentMetStandardIncludingPP
Snohomish County,Marysville School District,10th Street School,SBA,ELA,6,All,,
Snohomish County,Marysville School District,10th Street School,SBA,ELA,7,All,,
Snohomish County,Marysville School District,10th Street School,SBA,ELA,8,All,33,61.1
Snohomish County,Marysville School District,10th Street School,SBA,MATH,6,All,,
Snohomish County,Marysville School District,10th Street School,SBA,MATH,7,All,,
Snohomish County,Marysville School District,10th Street School,SBA,MATH,8,All,30,55.5
Clark County,Evergreen School District (Clark),49th Street Academy,SBA,ELA,3,All,,
Clark County,Evergreen School District (Clark),49th Street Academy,SBA,ELA,4,All,,
Clark County,Evergreen School District (Clark),49th Street Academy,SBA,ELA,5,All,,
Clark County,Evergreen School District (Clark),49th Street Academy,SBA,ELA,6,All,,
Clark County,Evergreen School District (Clark),49th Street Academy,SBA,ELA,7,All,,
Clark County,Evergreen School District (Clark),49th Street Academy,SBA,ELA,8,All,,
Clark County,Evergreen School District (Clark),49th Street Academy,SBA,ELA,11,All,,
Clark County,Evergreen School District (Clark),49th Street Academy,SBA,MATH,3,All,,
Clark County,Evergreen School District (Clark),49th Street Academy,SBA,MATH,4,All,,
Clark County,Evergreen School District (Clark),49th Street Academy,SBA,MATH,5,All,,
Clark County,Evergreen School District (Clark),49th Street Academy,SBA,MATH,6,All,,
Clark County,Evergreen School District (Clark),49th Street Academy,SBA,MATH,7,All,,
Clark County,Evergreen School District (Clark),49th Street Academy,SBA,MATH,8,All,,
Clark County,Evergreen School District (Clark),49th Street Academy,SBA,MATH,11,All,,
Thurston County,Tumwater School District,A G West Black Hills High School,SBA,ELA,8,All,,
Thurston County,Tumwater School District,A G West Black Hills High School,SBA,ELA,11,All,184,85.1
Thurston County,Tumwater School District,A G West Black Hills High School,SBA,MATH,8,All,,
Thurston County,Tumwater School District,A G West Black Hills High School,SBA,MATH,11,All,98,45.5
Grays Harbor County,Aberdeen School District,A J West Elementary,SBA,ELA,3,All,7,15.9
Grays Harbor County,Aberdeen School District,A J West Elementary,SBA,ELA,4,All,23,37
Grays Harbor County,Aberdeen School District,A J West Elementary,SBA,ELA,5,All,19,38
Grays Harbor County,Aberdeen School District,A J West Elementary,SBA,ELA,6,All,15,35.7
Grays Harbor County,Aberdeen School District,A J West Elementary,SBA,MATH,3,All,15,34
Grays Harbor County,Aberdeen School District,A J West Elementary,SBA,MATH,4,All,26,41.9
Grays Harbor County,Aberdeen School District,A J West Elementary,SBA,MATH,5,All,6,12
Grays Harbor County,Aberdeen School District,A J West Elementary,SBA,MATH,6,All,9,21.4
,,A-3 Multiagency Adolescent Prog,SBA,ELA,7,All,,
,,A-3 Multiagency Adolescent Prog,SBA,ELA,8,All,,
,,A-3 Multiagency Adolescent Prog,SBA,ELA,11,All,,
,,A-3 Multiagency Adolescent Prog,SBA,MATH,7,All,,
,,A-3 Multiagency Adolescent Prog,SBA,MATH,8,All,,
,,A-3 Multiagency Adolescent Prog,SBA,MATH,11,All,,
Chelan County,Wenatchee School District,Abraham Lincoln Elementary,SBA,ELA,3,All,21,25.6
Chelan County,Wenatchee School District,Abraham Lincoln Elementary,SBA,ELA,4,All,34,38.6
Chelan County,Wenatchee School District,Abraham Lincoln Elementary,SBA,ELA,5,All,20,25.9
Chelan County,Wenatchee School District,Abraham Lincoln Elementary,SBA,MATH,3,All,32,39.5
Chelan County,Wenatchee School District,Abraham Lincoln Elementary,SBA,MATH,4,All,22,25
Chelan County,Wenatchee School District,Abraham Lincoln Elementary,SBA,MATH,5,All,13,16.8
King County,Highline School District,Academy of Citizenship and Empowerment,SBA,ELA,11,All,61,53.9
King County,Highline School District,Academy of Citizenship and Empowerment,SBA,MATH,11,All,,
Snohomish County,Marysville School District,Academy of Const and Engineering,SBA,ELA,11,All,47,58.7
Snohomish County,Marysville School District,Academy of Const and Engineering,SBA,MATH,11,All,20,25.3
,,Acceleration Academy,SBA,ELA,11,All,18,32.1
,,Acceleration Academy,SBA,MATH,11,All,,
Snohomish County,Mukilteo School District,ACES High School,SBA,ELA,11,All,,
Snohomish County,Mukilteo School District,ACES High School,SBA,MATH,11,All,,
Whatcom County,Mount Baker School District,Acme Elementary,SBA,ELA,3,All,,
Whatcom County,Mount Baker School District,Acme Elementary,SBA,ELA,4,All,,
Whatcom County,Mount Baker School District,Acme Elementary,SBA,ELA,5,All,,
Whatcom County,Mount Baker School District,Acme Elementary,SBA,ELA,6,All,,
Whatcom County,Mount Baker School District,Acme Elementary,SBA,MATH,3,All,,
Whatcom County,Mount Baker School District,Acme Elementary,SBA,MATH,4,All,,
Whatcom County,Mount Baker School District,Acme Elementary,SBA,MATH,5,All,,
Whatcom County,Mount Baker School District,Acme Elementary,SBA,MATH,6,All,,
Spokane County,Central Valley School District,Adams Elementary,SBA,ELA,3,All,46,47.4
Yakima County,Wapato School District,Adams Elementary,SBA,ELA,3,All,13,19.6
Spokane County,Spokane School District,Adams Elementary,SBA,ELA,3,All,22,44.8
Yakima County,Wapato School District,Adams Elementary,SBA,ELA,4,All,19,37.2
Spokane County,Spokane School District,Adams Elementary,SBA,ELA,4,All,22,46.8
Spokane County,Central Valley School District,Adams Elementary,SBA,ELA,4,All,26,34.2
Spokane County,Central Valley School District,Adams Elementary,SBA,ELA,5,All,39,48.1
Yakima County,Wapato School District,Adams Elementary,SBA,ELA,5,All,13,23.6
Spokane County,Spokane School District,Adams Elementary,SBA,ELA,5,All,19,38
Spokane County,Spokane School District,Adams Elementary,SBA,ELA,6,All,30,63.8
Spokane County,Spokane School District,Adams Elementary,SBA,MATH,3,All,31,63.2
Yakima County,Wapato School District,Adams Elementary,SBA,MATH,3,All,23,34.3
Spokane County,Central Valley School District,Adams Elementary,SBA,MATH,3,All,54,55.6
Yakima County,Wapato School District,Adams Elementary,SBA,MATH,4,All,20,40
Spokane County,Spokane School District,Adams Elementary,SBA,MATH,4,All,21,45.6
Spokane County,Central Valley School District,Adams Elementary,SBA,MATH,4,All,26,34.2
Spokane County,Central Valley School District,Adams Elementary,SBA,MATH,5,All,37,45.6
Yakima County,Wapato School District,Adams Elementary,SBA,MATH,5,All,8,14.5
Spokane County,Spokane School District,Adams Elementary,SBA,MATH,5,All,20,40
Spokane County,Spokane School District,Adams Elementary,SBA,MATH,6,All,30,62.5
King County,Seattle Public Schools,Adams Elementary School,SBA,ELA,3,All,68,74.7
Yakima County,Yakima School District,Adams Elementary School,SBA,ELA,3,All,19,18.6
King County,Seattle Public Schools,Adams Elementary School,SBA,ELA,4,All,68,74.7
Yakima County,Yakima School District,Adams Elementary School,SBA,ELA,4,All,42,30
King County,Seattle Public Schools,Adams Elementary School,SBA,ELA,5,All,82,83.6
Yakima County,Yakima School District,Adams Elementary School,SBA,ELA,5,All,24,20.8
King County,Seattle Public Schools,Adams Elementary School,SBA,MATH,3,All,65,71.4
Yakima County,Yakima School District,Adams Elementary School,SBA,MATH,3,All,46,44.2
King County,Seattle Public Schools,Adams Elementary School,SBA,MATH,4,All,56,61.5
Yakima County,Yakima School District,Adams Elementary School,SBA,MATH,4,All,51,36.6
