County,District,School,testAdministration,Subject,GradeLevel,StudentGroup,countMetStandardIncludingPP,PercentMetStandardIncludingPP
King County,Seattle Public Schools,Adams Elementary School,SBA,MATH,5,All,62,63.2
Yakima County,Yakima School District,Adams Elementary School,SBA,MATH,5,All,18,15.6
King County,Federal Way School District,Adelaide Elementary School,SBA,ELA,3,All,24,35.2
King County,Federal Way School District,Adelaide Elementary School,SBA,ELA,4,All,16,28.5
King County,Federal Way School District,Adelaide Elementary School,SBA,ELA,5,All,27,40.2
King County,Federal Way School District,Adelaide Elementary School,SBA,MATH,3,All,35,51.4
King County,Federal Way School District,Adelaide Elementary School,SBA,MATH,4,All,17,30.3
King County,Federal Way School District,Adelaide Elementary School,SBA,MATH,5,All,18,26.8
Lewis County,Adna School District,Adna Elementary School,SBA,ELA,3,All,37,75.5
Lewis County,Adna School District,Adna Elementary School,SBA,ELA,4,All,32,76.1
Lewis County,Adna School District,Adna Elementary School,SBA,ELA,5,All,36,73.4
Lewis County,Adna School District,Adna Elementary School,SBA,MATH,3,All,31,63.2
Lewis County,Adna School District,Adna Elementary School,SBA,MATH,4,All,27,64.2
Lewis County,Adna School District,Adna Elementary School,SBA,MATH,5,All,29,59.1
Lewis County,Adna School District,Adna Middle/High School,SBA,ELA,6,All,21,58.3
Lewis County,Adna School District,Adna Middle/High School,SBA,ELA,7,All,25,55.5
Lewis County,Adna School District,Adna Middle/High School,SBA,ELA,8,All,42,75
Lewis County,Adna School District,Adna Middle/High School,SBA,ELA,11,All,42,70
Lewis County,Adna School District,Adna Middle/High School,SBA,MATH,6,All,19,52.7
Lewis County,Adna School District,Adna Middle/High School,SBA,MATH,7,All,19,42.2
Lewis County,Adna School District,Adna Middle/High School,SBA,MATH,8,All,22,39.2
Lewis County,Adna School District,Adna Middle/High School,SBA,MATH,11,All,,
Yakima County,West Valley School District (Yakima),Ahtanum Valley Elementary,SBA,ELA,3,All,43,72.8
Yakima County,West Valley School District (Yakima),Ahtanum Valley Elementary,SBA,ELA,4,All,34,62.9
Yakima County,West Valley School District (Yakima),Ahtanum Valley Elementary,SBA,MATH,3,All,37,62.7
Yakima County,West Valley School District (Yakima),Ahtanum Valley Elementary,SBA,MATH,4,All,33,61.1
Snohomish County,Snohomish School District,AIM High School,SBA,ELA,11,All,31,60.7
Snohomish County,Snohomish School District,AIM High School,SBA,MATH,11,All,,
King County,Seattle Public Schools,Aki Kurose Middle School,SBA,ELA,6,All,89,41.2
King County,Seattle Public Schools,Aki Kurose Middle School,SBA,ELA,7,All,114,45
King County,Seattle Public Schools,Aki Kurose Middle School,SBA,ELA,8,All,118,49.3
King County,Seattle Public Schools,Aki Kurose Middle School,SBA,MATH,6,All,99,45.6
King County,Seattle Public Schools,Aki Kurose Middle School,SBA,MATH,7,All,117,46.2
King County,Seattle Public Schools,Aki Kurose Middle School,SBA,MATH,8,All,146,60.8
King County,Shoreline School District,Albert Einstein Middle School,SBA,ELA,7,All,300,81
King County,Shoreline School District,Albert Einstein Middle School,SBA,ELA,8,All,260,76.2
King County,Shoreline School District,Albert Einstein Middle School,SBA,MATH,7,All,253,68.1
King County,Shoreline School District,Albert Einstein Middle School,SBA,MATH,8,All,196,57.4
King County,Lake Washington School District,Alcott Elementary,SBA,ELA,3,All,135,87
King County,Lake Washington School District,Alcott Elementary,SBA,ELA,4,All,151,93.7
King County,Lake Washington School District,Alcott Elementary,SBA,ELA,5,All,112,86.1
King County,Lake Washington School District,Alcott Elementary,SBA,MATH,3,All,138,87.8
King County,Lake Washington School District,Alcott Elementary,SBA,MATH,4,All,151,93.7
King County,Lake Washington School District,Alcott Elementary,SBA,MATH,5,All,111,86
Whatcom County,Bellingham School District,Alderwood Elementary School,SBA,ELA,3,All,7,15.2
Whatcom County,Bellingham School District,Alderwood Elementary School,SBA,ELA,4,All,,
Whatcom County,Bellingham School District,Alderwood Elementary School,SBA,ELA,5,All,,
Whatcom County,Bellingham School District,Alderwood Elementary School,SBA,MATH,3,All,6,13
Whatcom County,Bellingham School District,Alderwood Elementary School,SBA,MATH,4,All,,
Whatcom County,Bellingham School District,Alderwood Elementary School,SBA,MATH,5,All,,
Snohomish County,Edmonds School District,Alderwood Middle School,SBA,ELA,7,All,235,59.3
Snohomish County,Edmonds School District,Alderwood Middle School,SBA,ELA,8,All,211,57.9
Snohomish County,Edmonds School District,Alderwood Middle School,SBA,MATH,7,All,197,49.8
Snohomish County,Edmonds School District,Alderwood Middle School,SBA,MATH,8,All,178,48.7
King County,Seattle Public Schools,Alki Elementary School,SBA,ELA,3,All,46,71.8
King County,Seattle Public Schools,Alki Elementary School,SBA,ELA,4,All,58,86.5
King County,Seattle Public Schools,Alki Elementary School,SBA,ELA,5,All,52,82.5
King County,Seattle Public Schools,Alki Elementary School,SBA,MATH,3,All,49,76.5
King County,Seattle Public Schools,Alki Elementary School,SBA,MATH,4,All,53,79.1
King County,Seattle Public Schools,Alki Elementary School,SBA,MATH,5,All,48,76.1
Clark County,Vancouver School District,Alki Middle School,SBA,ELA,6,All,158,73.4
Clark County,Vancouver School District,Alki Middle School,SBA,ELA,7,All,176,79.6
Clark County,Vancouver School District,Alki Middle School,SBA,ELA,8,All,182,74.5
Clark County,Vancouver School District,Alki Middle School,SBA,MATH,6,All,119,55.3
Clark County,Vancouver School District,Alki Middle School,SBA,MATH,7,All,166,75.1
Clark County,Vancouver School District,Alki Middle School,SBA,MATH,8,All,163,66.8
Snohomish County,Marysville School District,Allen Creek Elementary School,SBA,ELA,3,All,42,53.1
Snohomish County,Marysville School District,Allen Creek Elementary School,SBA,ELA,4,All,30,36.5
Snohomish County,Marysville School District,Allen Creek Elementary School,SBA,ELA,5,All,35,46.6
Snohomish County,Marysville School District,Allen Creek Elementary School,SBA,MATH,3,All,54,68.3
Snohomish County,Marysville School District,Allen Creek Elementary School,SBA,MATH,4,All,33,40.2
Snohomish County,Marysville School District,Allen Creek Elementary School,SBA,MATH,5,All,31,41.3
Skagit County,Burlington-Edison School District,Allen Elementary,SBA,ELA,3,All,4,7.4
Skagit County,Burlington-Edison School District,Allen Elementary,SBA,ELA,4,All,3,6.9
Skagit County,Burlington-Edison School District,Allen Elementary,SBA,ELA,5,All,15,27.2
Skagit County,Burlington-Edison School District,Allen Elementary,SBA,ELA,6,All,12,22.2
Skagit County,Burlington-Edison School District,Allen Elementary,SBA,ELA,7,All,16,30.1
Skagit County,Burlington-Edison School District,Allen Elementary,SBA,ELA,8,All,,
Skagit County,Burlington-Edison School District,Allen Elementary,SBA,MATH,3,All,7,12.9
Skagit County,Burlington-Edison School District,Allen Elementary,SBA,MATH,4,All,8,18.6
Skagit County,Burlington-Edison School District,Allen Elementary,SBA,MATH,5,All,9,16.3
Skagit County,Burlington-Edison School District,Allen Elementary,SBA,MATH,6,All,10,18.5
Skagit County,Burlington-Edison School District,Allen Elementary,SBA,MATH,7,All,13,24
Skagit County,Burlington-Edison School District,Allen Elementary,SBA,MATH,8,All,,
Grant County,Coulee-Hartline School District,Almira Coulee Hartline High School,SBA,ELA,11,All,,
Grant County,Coulee-Hartline School District,Almira Coulee Hartline High School,SBA,MATH,11,All,9,56.2
Lincoln County,Almira School District,Almira Elementary School,SBA,ELA,3,All,,
Lincoln County,Almira School District,Almira Elementary School,SBA,ELA,4,All,,
Lincoln County,Almira School District,Almira Elementary School,SBA,ELA,5,All,,
Lincoln County,Almira School District,Almira Elementary School,SBA,ELA,6,All,15,83.3
Lincoln County,Almira School District,Almira Elementary School,SBA,ELA,7,All,,
Lincoln County,Almira School District,Almira Elementary School,SBA,ELA,8,All,16,66.6
Lincoln County,Almira School District,Almira Elementary School,SBA,MATH,3,All,,
Lincoln County,Almira School District,Almira Elementary School,SBA,MATH,4,All,,
Lincoln County,Almira School District,Almira Elementary School,SBA,MATH,5,All,,
Lincoln County,Almira School District,Almira Elementary School,SBA,MATH,6,All,12,66.6
Lincoln County,Almira School District,Almira Elementary School,SBA,MATH,7,All,21,91.3
Lincoln County,Almira School District,Almira Elementary School,SBA,MATH,8,All,14,58.3
King County,Auburn School District,Alpac Elementary School,SBA,ELA,3,All,47,50
King County,Auburn School District,Alpac Elementary School,SBA,ELA,4,All,52,53.6
King County,Auburn School District,Alpac Elementary School,SBA,ELA,5,All,45,60
King County,Auburn School District,Alpac Elementary School,SBA,MATH,3,All,57,58.7
King County,Auburn School District,Alpac Elementary School,SBA,MATH,4,All,60,61.8
King County,Auburn School District,Alpac Elementary School,SBA,MATH,5,All,46,59.7
Walla Walla County,Walla Walla Public Schools,Alternative Education Program,SBA,ELA,11,All,22,42.3
Walla Walla County,Walla Walla Public Schools,Alternative Education Program,SBA,MATH,11,All,,
Kitsap County,Central Kitsap School District,Alternative High School,SBA,ELA,11,All,33,56.8
Kitsap County,Central Kitsap School District,Alternative High School,SBA,MATH,11,All,,
Okanogan County,Methow Valley School District,Alternative School,SBA,ELA,11,All,,
Okanogan County,Methow Valley School District,Alternative School,SBA,MATH,11,All,,
,,Alternative Tamarack School,SBA,ELA,8,All,,
,,Alternative Tamarack School,SBA,MATH,8,All,,
Clark County,Battle Ground School District,Amboy Middle School,SBA,ELA,5,All,69,55.6
Clark County,Battle Ground School District,Amboy Middle School,SBA,ELA,6,All,94,62.2
Clark County,Battle Ground School District,Amboy Middle School,SBA,ELA,7,All,97,66.8
Clark County,Battle Ground School District,Amboy Middle School,SBA,ELA,8,All,76,50.6
Clark County,Battle Ground School District,Amboy Middle School,SBA,MATH,5,All,53,43
Clark County,Battle Ground School District,Amboy Middle School,SBA,MATH,6,All,92,60.9
Clark County,Battle Ground School District,Amboy Middle School,SBA,MATH,7,All,89,61.3
Clark County,Battle Ground School District,Amboy Middle School,SBA,MATH,8,All,66,44
Benton County,Kennewick School District,Amistad Elementary School,SBA,ELA,3,All,10,11.9
Benton County,Kennewick School District,Amistad Elementary School,SBA,ELA,4,All,19,25
Benton County,Kennewick School District,Amistad Elementary School,SBA,ELA,5,All,14,15.2
Benton County,Kennewick School District,Amistad Elementary School,SBA,MATH,3,All,14,16.4
Benton County,Kennewick School District,Amistad Elementary School,SBA,MATH,4,All,12,15.5
Benton County,Kennewick School District,Amistad Elementary School,SBA,MATH,5,All,9,9.7
Skagit County,Anacortes School District,Anacortes High School,SBA,ELA,11,All,,
Skagit County,Anacortes School District,Anacortes High School,SBA,MATH,11,All,90,54.8
Skagit County,Anacortes School District,Anacortes Middle School,SBA,ELA,6,All,,
Skagit County,Anacortes School District,Anacortes Middle School,SBA,ELA,7,All,114,62.6
Skagit County,Anacortes School District,Anacortes Middle School,SBA,ELA,8,All,173,74.2
Skagit County,Anacortes School District,Anacortes Middle School,SBA,MATH,6,All,,
Skagit County,Anacortes School District,Anacortes Middle School,SBA,MATH,7,All,104,57.1
Skagit County,Anacortes School District,Anacortes Middle School,SBA,MATH,8,All,170,72.9
Pierce County,Steilacoom Hist. School District,Anderson Island Elementary,SBA,ELA,3,All,4,40
Pierce County,Steilacoom Hist. School District,Anderson Island Elementary,SBA,ELA,4,All,,
Pierce County,Steilacoom Hist. School District,Anderson Island Elementary,SBA,ELA,5,All,,
Pierce County,Steilacoom Hist. School District,Anderson Island Elementary,SBA,MATH,3,All,4,40
Pierce County,Steilacoom Hist. School District,Anderson Island Elementary,SBA,MATH,4,All,,
Pierce County,Steilacoom Hist. School District,Anderson Island Elementary,SBA,MATH,5,All,,
Pierce County,Tacoma School District,Angelo Giaudrone Middle School,SBA,ELA,6,All,61,29.1
Pierce County,Tacoma School District,Angelo Giaudrone Middle School,SBA,ELA,7,All,91,44.3
Pierce County,Tacoma School District,Angelo Giaudrone Middle School,SBA,ELA,8,All,83,40.6
Pierce County,Tacoma School District,Angelo Giaudrone Middle School,SBA,MATH,6,All,57,27.1
Pierce County,Tacoma School District,Angelo Giaudrone Middle School,SBA,MATH,7,All,74,35.9
Pierce County,Tacoma School District,Angelo Giaudrone Middle School,SBA,MATH,8,All,71,34.8
King County,Issaquah School District,Apollo Elementary,SBA,ELA,3,All,84,64.1
King County,Issaquah School District,Apollo Elementary,SBA,ELA,4,All,69,61.6
King County,Issaquah School District,Apollo Elementary,SBA,ELA,5,All,99,82.5
King County,Issaquah School District,Apollo Elementary,SBA,MATH,3,All,100,76.3
King County,Issaquah School District,Apollo Elementary,SBA,MATH,4,All,76,67.2
King County,Issaquah School District,Apollo Elementary,SBA,MATH,5,All,96,80
Yakima County,West Valley School District (Yakima),Apple Valley Elementary,SBA,ELA,3,All,50,81.9
Yakima County,West Valley School District (Yakima),Apple Valley Elementary,SBA,ELA,4,All,52,71.2
Yakima County,West Valley School District (Yakima),Apple Valley Elementary,SBA,MATH,3,All,56,91.8
Yakima County,West Valley School District (Yakima),Apple Valley Elementary,SBA,MATH,4,All,60,82.1
King County,Seattle Public Schools,Arbor Heights Elementary School,SBA,ELA,3,All,55,63.2
King County,Seattle Public Schools,Arbor Heights Elementary School,SBA,ELA,4,All,34,58.6
King County,Seattle Public Schools,Arbor Heights Elementary School,SBA,ELA,5,All,39,58.2
King County,Seattle Public Schools,Arbor Heights Elementary School,SBA,MATH,3,All,58,66.6
King County,Seattle Public Schools,Arbor Heights Elementary School,SBA,MATH,4,All,25,43.1
King County,Seattle Public Schools,Arbor Heights Elementary School,SBA,MATH,5,All,23,34.3
Spokane County,Deer Park School District,Arcadia Elementary,SBA,ELA,3,All,87,56.4
Spokane County,Deer Park School District,Arcadia Elementary,SBA,ELA,4,All,83,53.8
Spokane County,Deer Park School District,Arcadia Elementary,SBA,ELA,5,All,76,59.8
Spokane County,Deer Park School District,Arcadia Elementary,SBA,MATH,3,All,94,61
Spokane County,Deer Park School District,Arcadia Elementary,SBA,MATH,4,All,88,57.1
Spokane County,Deer Park School District,Arcadia Elementary,SBA,MATH,5,All,68,53.5
King County,Bellevue School District,Ardmore Elementary School,SBA,ELA,3,All,31,55.3
King County,Bellevue School District,Ardmore Elementary School,SBA,ELA,4,All,28,53.8
King County,Bellevue School District,Ardmore Elementary School,SBA,ELA,5,All,28,46.6
King County,Bellevue School District,Ardmore Elementary School,SBA,MATH,3,All,37,64.9
King County,Bellevue School District,Ardmore Elementary School,SBA,MATH,4,All,20,38.4
King County,Bellevue School District,Ardmore Elementary School,SBA,MATH,5,All,25,41.6
Pierce County,Tacoma School District,Arlington,SBA,ELA,3,All,9,21.4
Pierce County,Tacoma School District,Arlington,SBA,ELA,4,All,12,27.9
Pierce County,Tacoma School District,Arlington,SBA,ELA,5,All,14,35
Pierce County,Tacoma School District,Arlington,SBA,MATH,3,All,12,28.5
Pierce County,Tacoma School District,Arlington,SBA,MATH,4,All,17,39.5
Pierce County,Tacoma School District,Arlington,SBA,MATH,5,All,12,30
Spokane County,Spokane School District,Arlington Elementary,SBA,ELA,3,All,23,24.4
Spokane County,Spokane School District,Arlington Elementary,SBA,ELA,4,All,27,29.6
Spokane County,Spokane School District,Arlington Elementary,SBA,ELA,5,All,46,46.4
Spokane County,Spokane School District,Arlington Elementary,SBA,ELA,6,All,25,37.3
Spokane County,Spokane School District,Arlington Elementary,SBA,MATH,3,All,26,27.6
Spokane County,Spokane School District,Arlington Elementary,SBA,MATH,4,All,21,23
Spokane County,Spokane School District,Arlington Elementary,SBA,MATH,5,All,33,33.3
Spokane County,Spokane School District,Arlington Elementary,SBA,MATH,6,All,15,22.3
Snohomish County,Arlington School District,Arlington High School,SBA,ELA,11,All,297,85.3
Snohomish County,Arlington School District,Arlington High School,SBA,MATH,11,All,147,42
Kitsap County,Bremerton School District,Armin Jahr Elementary,SBA,ELA,3,All,33,36.6
Kitsap County,Bremerton School District,Armin Jahr Elementary,SBA,ELA,4,All,20,28.1
Kitsap County,Bremerton School District,Armin Jahr Elementary,SBA,ELA,5,All,,
Kitsap County,Bremerton School District,Armin Jahr Elementary,SBA,MATH,3,All,45,50
Kitsap County,Bremerton School District,Armin Jahr Elementary,SBA,MATH,4,All,23,32.3
Kitsap County,Bremerton School District,Armin Jahr Elementary,SBA,MATH,5,All,,
King County,Northshore School District,Arrowhead Elementary,SBA,ELA,3,All,49,76.5
King County,Northshore School District,Arrowhead Elementary,SBA,ELA,4,All,40,72.7
King County,Northshore School District,Arrowhead Elementary,SBA,ELA,5,All,50,79.3
King County,Northshore School District,Arrowhead Elementary,SBA,ELA,6,All,44,78.5
King County,Northshore School District,Arrowhead Elementary,SBA,MATH,3,All,50,78.1
King County,Northshore School District,Arrowhead Elementary,SBA,MATH,4,All,40,72.7
King County,Northshore School District,Arrowhead Elementary,SBA,MATH,5,All,46,73
King County,Northshore School District,Arrowhead Elementary,SBA,MATH,6,All,45,80.3
King County,Auburn School District,Arthur Jacobsen Elementary,SBA,ELA,3,All,50,47.6
King County,Auburn School District,Arthur Jacobsen Elementary,SBA,ELA,4,All,71,66.3
King County,Auburn School District,Arthur Jacobsen Elementary,SBA,ELA,5,All,69,62.1
King County,Auburn School District,Arthur Jacobsen Elementary,SBA,MATH,3,All,62,59
King County,Auburn School District,Arthur Jacobsen Elementary,SBA,MATH,4,All,73,67.5
King County,Auburn School District,Arthur Jacobsen Elementary,SBA,MATH,5,All,64,57.6
Pierce County,Peninsula School District,Artondale Elementary School,SBA,ELA,3,All,64,82
Pierce County,Peninsula School District,Artondale Elementary School,SBA,ELA,4,All,44,66.6
Pierce County,Peninsula School District,Artondale Elementary School,SBA,ELA,5,All,58,76.3
Pierce County,Peninsula School District,Artondale Elementary School,SBA,MATH,3,All,64,81
Pierce County,Peninsula School District,Artondale Elementary School,SBA,MATH,4,All,44,66.6
Pierce County,Peninsula School District,Artondale Elementary School,SBA,MATH,5,All,51,67.1
King County,Highline School District,Arts & Academics Academy,SBA,ELA,11,All,39,49.3
King County,Highline School District,Arts & Academics Academy,SBA,MATH,11,All,5,6.2
Yakima County,Mabton School District,Artz Fox Elementary,SBA,ELA,3,All,23,27.3
Yakima County,Mabton School District,Artz Fox Elementary,SBA,ELA,4,All,13,17.5
Yakima County,Mabton School District,Artz Fox Elementary,SBA,ELA,5,All,7,8.7
Yakima County,Mabton School District,Artz Fox Elementary,SBA,ELA,6,All,10,16.9
Yakima County,Mabton School District,Artz Fox Elementary,SBA,MATH,3,All,22,26.1
Yakima County,Mabton School District,Artz Fox Elementary,SBA,MATH,4,All,7,9.4
Yakima County,Mabton School District,Artz Fox Elementary,SBA,MATH,5,All,,
Yakima County,Mabton School District,Artz Fox Elementary,SBA,MATH,6,All,,
Asotin County,Asotin-Anatone School District,Asotin Elementary,SBA,ELA,3,All,30,54.5
Asotin County,Asotin-Anatone School District,Asotin Elementary,SBA,ELA,4,All,31,68.8
Asotin County,Asotin-Anatone School District,Asotin Elementary,SBA,ELA,5,All,33,71.7
Asotin County,Asotin-Anatone School District,Asotin Elementary,SBA,MATH,3,All,35,63.6
Asotin County,Asotin-Anatone School District,Asotin Elementary,SBA,MATH,4,All,31,68.8
Asotin County,Asotin-Anatone School District,Asotin Elementary,SBA,MATH,5,All,28,60.8
Asotin County,Asotin-Anatone School District,Asotin Jr Sr High,SBA,ELA,6,All,32,60.3
Asotin County,Asotin-Anatone School District,Asotin Jr Sr High,SBA,ELA,7,All,38,64.4
Asotin County,Asotin-Anatone School District,Asotin Jr Sr High,SBA,ELA,8,All,31,58.4
Asotin County,Asotin-Anatone School District,Asotin Jr Sr High,SBA,ELA,11,All,,
Asotin County,Asotin-Anatone School District,Asotin Jr Sr High,SBA,MATH,6,All,30,56.6
Asotin County,Asotin-Anatone School District,Asotin Jr Sr High,SBA,MATH,7,All,37,62.7
Asotin County,Asotin-Anatone School District,Asotin Jr Sr High,SBA,MATH,8,All,32,60.3
Asotin County,Asotin-Anatone School District,Asotin Jr Sr High,SBA,MATH,11,All,24,48.9
Thurston County,North Thurston Public Schools,Aspire Middle School,SBA,ELA,6,All,85,72
Thurston County,North Thurston Public Schools,Aspire Middle School,SBA,ELA,7,All,83,82.1
Thurston County,North Thurston Public Schools,Aspire Middle School,SBA,ELA,8,All,90,89.1
Thurston County,North Thurston Public Schools,Aspire Middle School,SBA,MATH,6,All,65,55
Thurston County,North Thurston Public Schools,Aspire Middle School,SBA,MATH,7,All,77,76.2
Thurston County,North Thurston Public Schools,Aspire Middle School,SBA,MATH,8,All,84,83.1
King County,Auburn School District,Auburn Mountainview High School,SBA,ELA,11,All,290,79
King County,Auburn School District,Auburn Mountainview High School,SBA,MATH,11,All,143,39
King County,Auburn School District,Auburn Riverside High School,SBA,ELA,11,All,347,81
King County,Auburn School District,Auburn Riverside High School,SBA,MATH,11,All,158,37.6
King County,Auburn School District,Auburn Senior High School,SBA,ELA,11,All,,
King County,Auburn School District,Auburn Senior High School,SBA,MATH,11,All,,
