County,District,testAdministration,Subject,GradeLevel,StudentGroup,countMetStandardIncludingPP,PercentMetStandardIncludingPP
Grays Harbor County,Aberdeen School District,SBA,ELA,3,All,112,38.2
Grays Harbor County,Aberdeen School District,SBA,ELA,4,All,116,45.4
Grays Harbor County,Aberdeen School District,SBA,ELA,5,All,121,48.4
Grays Harbor County,Aberdeen School District,SBA,ELA,6,All,115,53.2
Grays Harbor County,Aberdeen School District,SBA,ELA,7,All,105,45.4
Grays Harbor County,Aberdeen School District,SBA,ELA,8,All,97,40.4
Grays Harbor County,Aberdeen School District,SBA,ELA,11,All,162,65.3
Grays Harbor County,Aberdeen School District,SBA,MATH,3,All,145,49.4
Grays Harbor County,Aberdeen School District,SBA,MATH,4,All,129,50.3
Grays Harbor County,Aberdeen School District,SBA,MATH,5,All,94,37.6
Grays Harbor County,Aberdeen School District,SBA,MATH,6,All,104,48.1
Grays Harbor County,Aberdeen School District,SBA,MATH,7,All,73,32
Grays Harbor County,Aberdeen School District,SBA,MATH,8,All,76,31.7
Grays Harbor County,Aberdeen School District,SBA,MATH,11,All,,
Grays Harbor County,Aberdeen School District,AIM,ELA,4,All,,
Grays Harbor County,Aberdeen School District,AIM,ELA,5,All,,
Grays Harbor County,Aberdeen School District,AIM,ELA,6,All,,
Grays Harbor County,Aberdeen School District,AIM,ELA,7,All,,
Grays Harbor County,Aberdeen School District,AIM,ELA,8,All,,
Grays Harbor County,Aberdeen School District,AIM,ELA,11,All,,
Grays Harbor County,Aberdeen School District,AIM,Math,4,All,,
Grays Harbor County,Aberdeen School District,AIM,Math,5,All,,
Grays Harbor County,Aberdeen School District,AIM,Math,6,All,,
Grays Harbor County,Aberdeen School District,AIM,Math,7,All,,
Grays Harbor County,Aberdeen School District,AIM,Math,8,All,,
Grays Harbor County,Aberdeen School District,AIM,Math,11,All,,
Grays Harbor County,Aberdeen School District,AIM,Science,5,All,,
Grays Harbor County,Aberdeen School District,AIM,Science,8,All,,
Grays Harbor County,Aberdeen School District,EOC,Biology,10,All,115,50
Grays Harbor County,Aberdeen School District,MSP,Science,5,All,128,50.9
Grays Harbor County,Aberdeen School District,MSP,Science,8,All,103,43
Lewis County,Adna School District,SBA,ELA,3,All,37,75.5
Lewis County,Adna School District,SBA,ELA,4,All,32,76.1
Lewis County,Adna School District,SBA,ELA,5,All,36,73.4
Lewis County,Adna School District,SBA,ELA,6,All,21,58.3
Lewis County,Adna School District,SBA,ELA,7,All,25,55.5
Lewis County,Adna School District,SBA,ELA,8,All,42,75
Lewis County,Adna School District,SBA,ELA,11,All,42,70
Lewis County,Adna School District,SBA,MATH,3,All,31,63.2
Lewis County,Adna School District,SBA,MATH,4,All,27,64.2
Lewis County,Adna School District,SBA,MATH,5,All,29,59.1
Lewis County,Adna School District,SBA,MATH,6,All,19,52.7
Lewis County,Adna School District,SBA,MATH,7,All,19,42.2
Lewis County,Adna School District,SBA,MATH,8,All,22,39.2
Lewis County,Adna School District,SBA,MATH,11,All,,
Lewis County,Adna School District,EOC,Biology,10,All,48,78.6
Lewis County,Adna School District,MSP,Science,5,All,41,83.6
Lewis County,Adna School District,MSP,Science,8,All,38,67.8
Lincoln County,Almira School District,SBA,ELA,3,All,,
Lincoln County,Almira School District,SBA,ELA,4,All,,
Lincoln County,Almira School District,SBA,ELA,5,All,,
Lincoln County,Almira School District,SBA,ELA,6,All,15,83.3
Lincoln County,Almira School District,SBA,ELA,7,All,,
Lincoln County,Almira School District,SBA,ELA,8,All,16,66.6
Lincoln County,Almira School District,SBA,MATH,3,All,,
Lincoln County,Almira School District,SBA,MATH,4,All,,
Lincoln County,Almira School District,SBA,MATH,5,All,,
Lincoln County,Almira School District,SBA,MATH,6,All,12,66.6
Lincoln County,Almira School District,SBA,MATH,7,All,21,91.3
Lincoln County,Almira School District,SBA,MATH,8,All,14,58.3
Lincoln County,Almira School District,MSP,Science,5,All,,
Lincoln County,Almira School District,MSP,Science,8,All,17,70.8
Skagit County,Anacortes School District,SBA,ELA,3,All,153,69.2
Skagit County,Anacortes School District,SBA,ELA,4,All,154,69.3
Skagit County,Anacortes School District,SBA,ELA,5,All,147,72.4
Skagit County,Anacortes School District,SBA,ELA,6,All,163,72.1
Skagit County,Anacortes School District,SBA,ELA,7,All,114,62.6
Skagit County,Anacortes School District,SBA,ELA,8,All,173,74.2
Skagit County,Anacortes School District,SBA,ELA,11,All,151,82
Skagit County,Anacortes School District,SBA,MATH,3,All,145,65.3
Skagit County,Anacortes School District,SBA,MATH,4,All,155,69.8
Skagit County,Anacortes School District,SBA,MATH,5,All,143,70.4
Skagit County,Anacortes School District,SBA,MATH,6,All,134,59.2
Skagit County,Anacortes School District,SBA,MATH,7,All,104,57.1
Skagit County,Anacortes School District,SBA,MATH,8,All,170,72.9
Skagit County,Anacortes School District,SBA,MATH,11,All,93,51
Skagit County,Anacortes School District,AIM,ELA,3,All,,
Skagit County,Anacortes School District,AIM,ELA,4,All,,
Skagit County,Anacortes School District,AIM,ELA,5,All,,
Skagit County,Anacortes School District,AIM,ELA,6,All,,
Skagit County,Anacortes School District,AIM,ELA,7,All,,
Skagit County,Anacortes School District,AIM,ELA,8,All,,
Skagit County,Anacortes School District,AIM,ELA,11,All,,
Skagit County,Anacortes School District,AIM,Math,3,All,,
Skagit County,Anacortes School District,AIM,Math,4,All,,
Skagit County,Anacortes School District,AIM,Math,5,All,,
Skagit County,Anacortes School District,AIM,Math,6,All,,
Skagit County,Anacortes School District,AIM,Math,7,All,,
Skagit County,Anacortes School District,AIM,Math,8,All,,
Skagit County,Anacortes School District,AIM,Math,11,All,,
Skagit County,Anacortes School District,AIM,Science,5,All,,
Skagit County,Anacortes School District,AIM,Science,8,All,,
Skagit County,Anacortes School District,EOC,Biology,10,All,158,78.2
Skagit County,Anacortes School District,MSP,Science,5,All,155,76.3
Skagit County,Anacortes School District,MSP,Science,8,All,203,87.5
Snohomish County,Arlington School District,SBA,ELA,3,All,240,62.9
Snohomish County,Arlington School District,SBA,ELA,4,All,293,67.3
Snohomish County,Arlington School District,SBA,ELA,5,All,227,58.6
Snohomish County,Arlington School District,SBA,ELA,6,All,250,60.3
Snohomish County,Arlington School District,SBA,ELA,7,All,272,62.6
Snohomish County,Arlington School District,SBA,ELA,8,All,279,67.5
Snohomish County,Arlington School District,SBA,ELA,11,All,325,79
